	input	output	language
0	"Conclusion
Diego García-Sayán
Judge
Pablo Saavedra Alessandri
Secretary"	Diego García-Sayán	en
1	"Hernán Salgado-Pesantes
Judge
Secretary"	Hernán Salgado-Pesantes	en
2	"Alberto Pérez Pérez
Judge
Pablo Saavedra Alessandri
Secretary"	Alberto Pérez Pérez	en
3	"Antônio Augusto Cançado Trindade
Judge
Manuel E. Ventura Robles
Secretary"	Antônio Augusto Cançado Trindade	en
4	"To the last syllable of recorded time;
Antônio Augusto Cançado Trindade
Judge
Pablo Saavedra-Alessandri
Secretary"	Antônio Augusto Cançado Trindade	en
6	"REGARDING REPARATIONS
Cecilia Medina-Quiroga
Judge
Pablo Saavedra-Alessandri
Secretary"	Cecilia Medina-Quiroga	en
7	"Eduardo Ferrer Mac-Gregor Poisot
Judge
Pablo Saavedra Alessandri
Secretary"	Eduardo Ferrer Mac-Gregor Poisot	en
8	", developed as from
, - as it
Antônio Augusto Cançado Trindade
Judge
Manuel E. Ventura-Robles
Secretary"	Antônio Augusto Cançado Trindade	en
9	"Sergio García-Ramírez
Judge
Manuel E. Ventura-Robles
Secretary"	Sergio García-Ramírez	en
10	"Sergio García-Ramírez
Judge
Manuel E. Ventura-Robles
Secretary"	Sergio García-Ramírez	en
11	"Sergio García-Ramírez
Judge
Secretary"	Sergio García-Ramírez	en
12	"Cf.
VIII. Final Considerations.
Antônio Augusto Cançado Trindade
Judge
Pablo Saavedra-Alessandri
Secretary"	Antônio Augusto Cançado Trindade	en
13	"Antônio Augusto Cançado Trindade
Judge
Manuel E. Ventura-Robles
Secretary"	Antônio Augusto Cançado Trindade	en
14	"Antônio A. Cançado Trindade
Judge"	Antônio A. Cançado Trindade	en
15	"Eduardo Vio Grossi
Judge
Pablo Saavedra Alessandri
Secretary"	Eduardo Vio Grossi	en
16	"She responded:
It was here already, long ago; 
There is no remembrance of men of old, 
Antônio Augusto Cançado Trindade
Judge
Pablo Saavedra-Alessandri
Secretary"	Antônio Augusto Cançado Trindade	en
17	"Manuel E. Ventura-Robles
Secretary
Carlos Vicente de Roux-Rengifo
Judge"	Carlos Vicente de Roux-Rengifo	en
18	", developed as from
: thus, if one intends to
Antônio Augusto Cançado Trindade
Judge
Manuel E. Ventura-Robles
Secretary"	Antônio Augusto Cançado Trindade	en
19	"Antônio Augusto Cançado Trindade
Judge
Pablo Saavedra-Alessandri
Secretary"	Antônio Augusto Cançado Trindade	en
20	"Eduardo Ferrer Mac-Gregor Poisot
Judge
Pablo Saavedra Alessandri
Registrar"	Eduardo Ferrer Mac-Gregor Poisot	en
21	"Fernando Vidal-Ramírez
Judge
Secretary"	Fernando Vidal-Ramírez	en
22	"Antônio Augusto Cançado Trindade
Judge
Pablo Saavedra Alessandri
Secretary"	Antônio Augusto Cançado Trindade	en
23	"Eduardo Vio Grossi
Judge
Pablo Saavedra Alessandri
Secretary"	Eduardo Vio Grossi	en
24	"Antônio Augusto Cançado Trindade
Judge
Pablo Saavedra-Alessandri
Secretary"	Antônio Augusto Cançado Trindade	en
25	"Eduardo Vio Grossi
Judge
Pablo Saavedra Alessandri
Secretary"	Eduardo Vio Grossi	en
26	"Eduardo Ferrer Mac-Gregor Poisot
Judge
Pablo Saavedra Alessandri
Secretary"	Eduardo Ferrer Mac-Gregor Poisot	en
27	"Sergio García-Ramírez
Judge
Secretary"	Sergio García-Ramírez	en
