	input	output	language
0	[Adopted without a vote.]	Adopted without a vote	en
1	[Adopted by a recorded vote of 26 to 5, with 15 abstentions. The voting was as follows:	Adopted by vote	en
2	[Adopted without a vote.]	Adopted without a vote	en
3	[Adopted by a recorded vote of 19 to 6, with 21 abstentions. The voting was as follows:	Adopted by vote	en
4	[Adopted without a vote.]	Adopted without a vote	en
5	[Adopted by a recorded vote of 35 to 0, with 11 abstentions. The voting was as follows:	Adopted by vote	en
6	[Adopted without a vote.]	Adopted without a vote	en
7	[Adopted without a vote.]	Adopted without a vote	en
8	[Adopted without a vote.]	Adopted without a vote	en
9	[Adopted without a vote.]	Adopted without a vote	en
10	[Adopted without a vote.]	Adopted without a vote	en
11	[Adopted without a vote.]	Adopted without a vote	en
12	[Adopted without a vote.]	Adopted without a vote	en
13	[Adopted without a vote.]	Adopted without a vote	en
14	[Adopted by a recorded vote of 28 to 14, with 3 abstentions. The voting was as follows:	Adopted by vote	en
15	[Adopted by a recorded vote of 31 to 14, with 1 abstention. The voting was as follows:	Adopted by vote	en
16	[Adopted without a vote.]	Adopted without a vote	en
17	[Adopted by a recorded vote of 26 to 10, with 11 abstentions. The voting was as follows:	Adopted by vote	en
18	[Adopted without a vote.]	Adopted without a vote	en
19	[Adopted by a recorded vote of 19 to 5, with 23 abstentions. The voting was as follows:	Adopted by vote	en
20	[Adopted without a vote.]	Adopted without a vote	en
21	[Adopted without a vote.]	Adopted without a vote	en
22	[Adopted by a recorded vote of 27 to 4, with 15 abstentions. The voting was as follows:	Adopted by vote	en
23	[Adopted by a recorded vote of 34 to 4, with 8 abstentions. The voting was as follows:	Adopted by vote	en
24	[Adopted by a recorded vote of 41 to 3, with 2 abstentions. The voting was as follows:	Adopted by vote	en
25	[Adopted by a recorded vote of 43 to 2, with 1 abstention. The voting was as follows:	Adopted by vote	en
26	[Adopted by a recorded vote of 25 to 14, with 7 abstentions. The voting was as follows:	Adopted by vote	en
27	[Adopted by a recorded vote of 32 to 5, with 10 abstentions. The voting was as follows:	Adopted by vote	en
28	[Adopted without a vote.]	Adopted without a vote	en
29	[Adopted by a recorded vote of 21 to 7, with 19 abstentions. The voting was as follows:	Adopted by vote	en
30	[Adopted by a recorded vote of 27 to 4, with 16 abstentions. The voting was as follows:	Adopted by vote	en
31	[Adopted without a vote.]	Adopted without a vote	en
32	[Adopted without a vote.]	Adopted without a vote	en
33	[Adopted without a vote.]	Adopted without a vote	en
34	[Adopted without a vote.]	Adopted without a vote	en
35	[Adopted without a vote.]	Adopted without a vote	en
36	[Adopted by a recorded vote of 28 to 1, with 17 abstentions. The voting was as follows:	Adopted by vote	en
37	[Adopted without a vote.]	Adopted without a vote	en
38	[Adopted by a recorded vote of 28 to 15, with 3 abstentions. The voting was as follows:	Adopted by vote	en
39	[Adopted without a vote.]	Adopted without a vote	en
40	[Adopted without a vote.]	Adopted without a vote	en
41	[Adopted without a vote.]	Adopted without a vote	en
42	[Adopted without a vote.]	Adopted without a vote	en
43	[Adopted without a vote.]	Adopted without a vote	en
44	[Adopted without a vote.]	Adopted without a vote	en
45	[Adopted without a vote.]	Adopted without a vote	en
46	[Adopted without a vote.]	Adopted without a vote	en
47	[Adopted without a vote.]	Adopted without a vote	en
48	[Adopted by a recorded vote of 27 to 16, with 4 abstentions. The voting was as follows:	Adopted by vote	en
49	[Adopted by a recorded vote of 46 to 1, with no abstentions. The voting was as follows:	Adopted by vote	en
50	[Adopted without a vote.]	Adopted without a vote	en
51	[Adopted without a vote.]	Adopted without a vote	en
52	[Adopted without a vote.]	Adopted without a vote	en
53	[Adopted without a vote.]	Adopted without a vote	en
54	[Adopted without a vote.]	Adopted without a vote	en
55	[Adopted without a vote.]	Adopted without a vote	en
